Features,PC1,PC2,PC3,PC4,PC5
NumAliphaticHeterocycles,0.39946675346293065,0.5591128940704604,0.2610990774157417,0.3545284095410655,0.19013178532116487
NumAliphaticRings,0.4147247180254043,0.6290263235225907,0.2693229666650415,0.33697863979095843,0.13937232201099706
NumAromaticCarbocycles,0.22352173682468865,0.04100208412401407,0.8182572013933269,0.1461959894783023,0.24002230292358684
NumAromaticHeterocycles,0.14506022563073337,0.012359399739267035,0.15214578099680848,0.14678950140010458,0.679425329840334
NumAromaticRings,0.09452242148674031,0.05619220421809877,0.7237840077596113,0.01006502290095364,0.42060522551395957
NumHAcceptors,0.40232675687651576,0.5107933792123651,0.2083875743691167,0.3982706405721611,0.2951951474320106
NumHDonors,0.4016762781517503,0.32088535719620226,0.18980390974891156,0.14591990424068443,0.05583626741652912
NumHeteroatoms,0.6438823730528036,0.5673117688939681,0.2402477523126966,0.12746012033902915,0.38543815270032455
NumRotatableBonds,0.5210639165989608,0.23557838097587339,0.06050507321232928,0.3037189786300583,0.3383716078609228
NumSaturatedCarbocycles,0.08880679727474486,0.2300071096986362,0.08666617867113141,0.0009203001116845335,0.11000867974965947
NumSaturatedHeterocycles,0.38537095256039017,0.5433697038742696,0.30879327294272635,0.33862472506603664,0.12936272668351098
NumSaturatedRings,0.3989045350178841,0.6001637716984599,0.3252179764142406,0.322102527169043,0.0835875565709993
RingCount,0.4304608884861362,0.5244313126815042,0.22589933702994208,0.30680320866935373,0.39497149774877055
MolLogP,0.14093043138681693,0.3910386015101369,0.6368290914993571,0.1485484498658606,0.044150171803124486
MolMR,0.9106854354040008,0.19376898276471896,0.2767348438471862,0.16580359705883488,0.009405184430035261
fr_Al_COO,0.07853803445229104,0.24533107558466827,0.0929327212529749,0.18592252838102657,0.21574722913667932
fr_Al_OH,0.11870408494661677,0.008199497762767667,0.13452996097739672,0.3885860847489365,0.2068733723899407
fr_Al_OH_noTert,0.1172803314469198,0.0038566957951361685,0.13235392161643172,0.38135006847268677,0.20130375034268966
fr_ArN,0.09917515145750064,0.04970520451095206,0.008375769762359386,0.04948282021355616,0.189473073611263
fr_Ar_COO,0.05087150389840414,0.264033518769816,0.08627562757209543,0.2340903001299091,0.08968114771067079
fr_Ar_N,0.12118349044839352,0.0007764523001345913,0.21290029877553143,0.13576628113815165,0.6597184035035485
fr_Ar_NH,0.06617661920095148,0.055401444605911475,0.13274448776393563,0.10196536894687974,0.30790898918400234
fr_Ar_OH,0.02638989135444523,0.13111451653962292,0.17533875127695142,0.356154962215825,0.15118983548329293
fr_COO,0.09387397837945431,0.3663357244157497,0.1292145576739272,0.30126323287431606,0.22306267639316155
fr_COO2,0.09279665854244785,0.3718719353195543,0.13271842057945513,0.3025938348478954,0.22243406209629146
fr_C_O,0.502698231250693,0.5863913304609999,0.1815862798516454,0.3320067355633925,0.20521389654028108
fr_C_O_noCOO,0.502698231250693,0.5863913304609999,0.18158627985164544,0.33200673556339244,0.20521389654028113
fr_C_S,0.00429358168664208,0.012678200125589107,0.02074056723736691,0.017671571223578108,0.03295657882578951
fr_HOCCN,0.0357701174142568,0.01986344577696899,0.03961122467676115,0.04568593006481772,0.02311400772751645
fr_Imine,0.01663371575982291,0.02178222456341353,0.029150475208294044,0.024070176083403106,0.040959546589723776
fr_NH0,0.058415246724723945,0.15909883317419032,0.1972443962695146,0.06037120760688075,0.6765180416947493
fr_NH1,0.3677069257159979,0.2690546914299471,0.16477907248837295,0.4409825489407647,0.11257153971411908
fr_NH2,0.10870092289433257,0.11675150256345504,0.08503114654229889,0.2023561243940036,0.038294773304457685
fr_N_O,0.004657206578454948,0.0011952867977939536,0.006707009436782675,0.001969989938956745,0.017523680162965
fr_Ndealkylation1,0.12903692695591343,0.006217979109224589,0.10091782138463931,0.09554147214120506,0.035304355889530695
fr_Ndealkylation2,0.23285591526095348,0.310106703263024,0.19772750746929108,0.02137335161569936,0.03873436966044138
fr_Nhpyrrole,0.06617661920095148,0.05540144460591147,0.13274448776393563,0.10196536894687974,0.3079089891840024
fr_SH,0.010491912734699581,0.0322771727014391,0.068002120258294,0.11413449785851107,0.1101046018193602
